NC,ponderab,edad,edadr,sexo,dep,prov,dist,macrozona,zona2,ambito2,zonali1,zonali2,region,ur,ambito,hogar,hijos18,edu,edu2,edupadre,edupadre2,edumadre,edumadre2,origen,ocupa,ocupa2,NSE,NSE1,NSE2,P01,P02,P02a,P03,P03a,P05,P05a,P06,P06a,P07,P08,P09,P09a,P10,P12,p12a,P13,P14,P15,yhogar,yhogar_pc1,yhogar_pc2,P16,P16a,P16b,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P28a,P29,P29a,P30,P30a,P32,P32a,P33,P34,P35,P36,P37,P37otros,P37a,P37b,P38,P38a,P38b,etnicidad,etnicidad2,lengua,lengua2,ideología,ideología2
202855318,1.059997199,20,1,1,11,1101,110101,4,4,2,,,1,1,2,4,2,5,1,9,2,10,2,2,2,2,3,2,1,4,4,1,2,1,7,3,8,3,4,2,3,1,5,2,2,1,,4000,4,1000,4,1,1,1,1,1,1,2,2,2,2,1,2,1,1,8,3,9,3,6,2,8,3,1,2,1,1,2,"",2,2,1,1,1,2,2,7,2,6,2
202854875,0.860527929,37,2,2,13,1301,130104,2,2,2,,,1,1,2,3,1,2,1,99,99,3,1,1,6,2,7,4,3,3,10,3,10,3,10,3,10,3,3,2,3,1,5,3,2,1,1,,,,,3,2,2,2,3,4,3,4,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,4,"",4,4,10,3,3,98,4,7,2,1,1
202852719,0.906404751,74,3,1,9,907,90701,3,6,2,,,2,1,2,2,2,4,1,1,1,1,1,1,6,2,7,4,3,5,8,3,3,1,5,2,5,2,4,1,1,2,3,3,2,1,,3000,3,1500,4,3,2,2,1,1,1,3,2,1,1,2,1,1,1,8,3,8,3,9,3,8,3,2,1,1,2,77,HACER OBRAS EN EL CAMPO,7,77,9,3,3,3,3,1,1,10,3
202849272,0.906404751,56,3,1,25,2501,250101,5,8,2,,,3,1,2,2,2,5,1,8,2,7,2,2,1,1,7,4,3,3,5,2,8,3,4,1,7,3,2,1,2,2,1,3,2,3,,1500,2,750,3,3,2,2,2,2,2,3,3,2,2,1,3,1,,3,1,7,3,4,1,8,3,2,2,1,1,,"",,,7,3,3,1,1,7,2,6,2
202847454,1.040683182,28,2,2,15,1501,150111,1,1,1,5,5,1,1,1,8,1,5,1,5,1,5,1,1,6,2,7,4,3,4,8,3,7,3,10,3,10,3,4,1,4,1,2,3,2,1,1,1800,2,225,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,10,3,7,3,8,3,10,3,2,2,2,2,4,"",4,4,2,1,1,2,2,7,2,6,2
202846558,1.189273775,60,3,2,20,2003,200307,2,5,2,,,2,2,3,6,1,3,1,1,1,1,1,1,6,2,8,5,3,3,8,3,9,3,10,3,10,3,,1,4,1,5,2,2,1,1,400,1,66.67,1,4,2,3,3,1,2,2,1,2,2,2,2,2,1,1,1,1,1,10,3,8,3,2,2,2,2,5,"",5,5,1,1,1,2,2,7,2,99,
202844045,1.232805175,59,3,1,3,304,30401,4,7,2,,,2,2,3,1,2,5,1,1,1,1,1,1,1,1,8,5,3,3,1,1,1,1,1,1,10,3,4,1,2,2,3,4,3,1,,1000,1,1000,4,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,10,3,1,1,1,2,1,2,77,LA DESNUTRICIÓN,77,77,1,1,1,2,2,1,1,3,1
202824424,1.057458015,49,3,2,15,1501,150110,1,1,1,3,3,1,1,1,4,2,4,1,4,1,5,1,1,6,2,7,4,3,3,10,3,10,3,10,3,8,3,3,2,1,2,3,4,3,3,,1000,1,250,1,4,2,3,1,1,1,4,2,1,3,2,1,1,2,10,3,10,3,10,3,10,3,2,2,2,2,2,"",2,2,5,2,2,7,3,1,1,1,1
202821340,0.996269634,25,2,1,15,1501,150120,1,1,1,2,2,1,1,1,3,2,6,2,9,2,6,2,2,1,1,5,3,2,3,3,1,5,2,10,3,10,3,4,1,4,1,3,4,3,2,,2300,3,766.67,3,2,1,1,1,2,2,2,2,2,2,1,1,1,1,5,2,10,3,10,3,5,2,2,2,1,2,2,"",2,2,3,1,1,2,2,7,2,8,3
202821145,0.961090505,26,2,2,15,1501,150125,1,1,1,3,3,1,1,1,4,2,9,2,5,1,5,1,1,1,1,6,3,2,4,7,3,1,1,9,3,10,3,4,2,4,1,4,3,2,1,,2500,3,625,3,2,1,1,1,1,2,1,3,1,2,1,1,2,1,10,3,10,3,7,3,10,3,1,2,1,2,1,"",1,1,5,2,2,1,1,7,2,4,1
202820841,0.961090505,25,2,2,15,1501,150111,1,1,1,5,5,1,1,1,3,1,7,2,3,1,3,1,1,1,1,6,3,2,3,5,2,5,2,10,3,7,3,3,2,4,1,5,4,3,1,1,3000,3,1000,4,1,1,1,1,1,2,2,4,2,2,1,3,2,1,10,3,10,3,7,3,8,3,2,2,2,2,4,"",4,4,2,1,1,2,2,7,2,1,1
202820303,0.976582379,50,3,2,15,701,70101,1,1,1,6,,1,1,1,5,1,3,1,2,1,5,1,1,6,2,5,3,2,3,10,3,10,3,1,1,1,1,4,1,4,1,5,4,3,1,3,4000,4,800,3,4,2,3,4,2,3,4,4,4,2,3,2,2,2,10,3,10,3,10,3,1,1,2,2,1,2,6,"",5,5,1,1,1,1,1,7,2,10,3
202820053,1.142066593,23,1,2,15,1501,150112,1,1,1,3,3,1,1,1,4,2,6,2,5,1,5,1,1,3,1,6,3,2,3,1,1,1,1,5,2,8,3,4,2,4,1,1,3,2,2,,3000,3,750,3,3,2,2,1,1,1,1,3,3,2,2,2,2,1,7,3,7,3,5,2,7,3,1,2,2,2,2,"",2,2,6,2,2,2,2,7,2,6,2
202819563,0.976582379,40,3,2,15,1501,150106,1,1,1,3,3,1,1,1,6,2,5,1,4,1,2,1,1,1,1,5,3,2,3,10,3,10,3,1,1,10,3,1,3,4,1,5,4,3,3,,3000,3,500,2,3,2,2,4,2,1,3,2,4,3,4,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,6,"",5,5,1,1,1,2,2,7,2,1,1
202818856,1.057458015,43,3,2,15,1501,150117,1,1,1,3,3,1,1,1,4,1,5,1,2,1,5,1,1,6,2,7,4,3,3,2,1,4,1,3,1,8,3,2,2,4,1,2,4,3,2,1,2000,2,500,2,4,2,3,1,2,1,2,3,99,2,1,1,1,1,9,3,9,3,9,3,10,3,1,2,2,2,77,ALIMENTOS,77,77,10,3,3,6,3,7,2,9,3
202818843,0.874398828,59,3,2,13,1301,130101,2,2,2,,,1,1,2,4,1,4,1,9,2,3,1,2,1,1,4,2,1,3,1,1,1,1,10,3,1,1,4,1,4,1,3,2,2,1,1,3000,3,750,3,3,2,2,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,10,3,1,1,1,2,1,2,77,LA POBREZA,3,3,3,1,1,2,2,7,2,9,3
202817421,0.874398828,64,3,2,13,1301,130101,2,2,2,,,1,1,2,2,1,9,2,7,2,5,1,2,6,2,4,2,1,3,3,1,3,1,7,3,3,1,4,1,3,1,5,3,2,1,1,3500,4,1750,4,1,1,1,1,2,1,2,2,2,2,1,2,2,1,4,1,4,1,10,3,7,3,2,2,1,2,4,"",4,4,4,1,1,2,2,7,2,5,2
202816204,0.996269634,37,2,1,15,1501,150106,1,1,1,3,3,1,1,1,5,2,7,2,8,2,8,2,2,3,1,5,3,2,3,5,2,5,2,8,3,10,3,3,1,1,2,2,3,2,1,,4000,4,800,3,1,1,1,1,2,1,2,4,2,2,1,2,2,1,5,2,7,3,5,2,5,2,2,2,1,1,1,"",1,1,6,2,2,2,2,7,2,7,3
202815338,0.976582379,60,3,2,15,1501,150106,1,1,1,3,3,1,1,1,2,2,9,2,2,1,2,1,1,8,1,5,3,2,3,6,2,5,2,10,3,10,3,4,1,3,1,2,3,2,1,,2500,3,1250,4,1,1,1,2,1,1,4,2,99,2,1,1,1,1,9,3,9,3,9,3,5,2,2,2,2,2,1,"",1,1,8,3,3,2,2,7,2,7,3
202815261,1.232805175,40,3,1,20,2001,200114,2,2,2,,,1,2,3,5,2,2,1,2,1,2,1,1,1,1,8,5,3,1,1,1,7,3,10,3,5,2,2,1,4,1,3,1,1,1,,500,1,100,1,3,2,2,3,3,3,1,3,1,3,3,1,3,2,1,1,1,1,10,3,10,3,2,2,2,2,77,LOS IMPUESTOS,77,77,10,3,3,2,2,7,2,10,3
202814333,0.874398828,50,3,2,13,1306,130601,2,5,2,,,2,1,2,7,1,1,1,99,99,1,1,1,6,2,8,5,3,3,10,3,99,99,10,3,99,99,3,2,4,1,2,3,2,1,1,500,1,71.43,1,3,2,2,2,1,1,1,4,2,1,1,2,1,2,1,1,1,1,10,3,10,3,1,2,1,2,77,DESIGUALDAD,77,77,10,3,3,98,4,7,2,10,3
202813798,1.213248749,35,2,1,10,1002,100203,3,6,2,,,2,2,3,5,1,5,1,2,1,2,1,1,1,1,8,5,3,4,1,1,5,2,2,1,8,3,4,1,2,2,5,4,3,2,1,2000,2,400,2,3,2,2,3,1,2,2,2,2,2,1,2,1,1,9,3,9,3,10,3,10,3,2,2,1,2,1,"",1,1,9,3,3,2,2,7,2,2,1
202812242,0.874398828,55,3,2,8,801,80101,4,7,2,,,2,1,2,4,1,5,1,3,1,3,1,1,6,2,8,5,3,4,1,1,10,3,1,1,10,3,3,2,3,1,2,3,2,1,3,1500,2,375,2,3,2,2,3,1,3,1,4,1,1,1,1,1,1,10,3,10,3,10,3,10,3,1,2,2,2,1,"",1,1,1,1,1,2,2,7,2,99,
202811075,0.961090505,39,2,2,15,1501,150125,1,1,1,3,3,1,1,1,4,2,4,1,9,2,5,1,2,6,2,6,3,2,3,4,1,10,3,6,2,4,1,3,2,2,2,1,3,2,3,,2000,2,500,2,2,1,1,3,4,1,3,1,4,2,2,2,1,1,6,2,5,2,10,3,10,3,1,1,2,2,4,"",4,4,4,1,1,2,2,7,2,5,2
202805506,0.892026131,25,2,1,10,1001,100102,3,6,2,,,2,1,2,5,1,5,1,3,1,3,1,1,3,1,8,5,3,4,5,2,10,3,5,2,1,1,4,1,3,1,4,4,3,3,1,2500,3,500,2,3,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,5,2,10,3,2,2,2,2,2,"",2,2,5,2,2,2,2,1,1,5,2
202801039,0.874398828,50,3,2,15,1502,150204,3,3,2,,,1,1,2,3,2,5,1,4,1,4,1,1,1,1,7,4,3,3,5,2,5,2,5,2,5,2,3,2,3,1,5,4,3,2,,2000,2,666.67,3,4,2,3,2,1,1,1,4,1,2,2,2,2,1,7,3,8,3,8,3,7,3,1,1,1,1,2,"",2,2,4,1,1,,,7,2,8,3
202789776,1.170407903,26,2,2,6,603,60304,2,5,2,,,2,2,3,3,2,5,1,4,1,2,1,1,1,1,7,4,3,3,3,1,3,1,8,3,4,1,4,3,1,2,2,4,3,1,,1500,2,500,2,2,1,1,1,1,1,3,3,1,4,4,3,1,1,8,3,7,3,3,1,7,3,2,2,2,2,1,"",1,1,5,2,2,2,2,7,2,10,3
202785466,0.892026131,36,2,1,6,610,61004,2,5,2,,,2,1,2,4,1,5,1,3,1,99,99,1,1,1,8,5,3,3,5,2,3,1,1,1,10,3,2,1,3,1,5,4,3,2,3,1300,2,325,2,3,2,2,1,1,1,4,4,1,3,1,3,1,1,10,3,10,3,10,3,8,3,1,2,1,2,1,"",1,1,3,1,1,2,2,7,2,5,2
202782305,0.906404751,52,3,1,23,2301,230102,4,4,2,,,1,1,2,6,1,7,2,4,1,4,1,1,1,1,7,4,3,3,8,3,6,2,6,2,6,2,4,1,4,1,1,3,2,1,1,3000,3,500,2,3,2,2,1,1,1,2,2,2,1,1,1,1,1,7,3,8,3,8,3,8,3,2,2,2,2,1,"",1,1,8,3,3,2,2,7,2,8,3
202771399,0.670282276,24,1,1,15,1501,150101,1,1,1,1,1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,8,5,3,4,10,3,10,3,10,3,10,3,2,2,3,1,2,3,2,2,1,1500,2,1500,4,3,2,2,2,3,3,3,4,4,2,4,2,2,2,10,3,1,1,1,1,1,1,1,2,2,2,1,"",1,1,10,3,3,2,2,7,2,10,3
202767643,0.906404751,60,3,1,8,805,80501,4,7,2,,,2,1,2,4,1,5,1,2,1,2,1,1,5,2,8,5,3,2,1,1,1,1,1,1,1,1,4,1,3,1,5,4,3,1,2,1000,1,250,1,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,10,3,1,1,2,2,2,2,2,"",2,2,1,1,1,98,4,1,1,99,
202696481,0.996269634,30,2,1,15,1501,150135,1,1,1,3,3,1,1,1,5,2,7,2,5,1,5,1,1,1,1,5,3,2,3,3,1,5,2,8,3,10,3,4,1,4,1,5,3,2,2,,3300,4,660,3,2,1,1,1,1,1,1,1,2,1,2,1,2,1,10,3,7,3,5,2,8,3,2,2,2,2,1,"",1,1,3,1,1,1,1,7,2,10,3
202695786,1.057458015,70,3,2,15,1501,150110,1,1,1,3,3,1,1,1,8,2,9,2,2,1,1,1,1,4,2,7,4,3,4,8,3,5,2,7,3,10,3,1,2,2,2,1,4,3,3,,1000,1,125,1,3,2,2,1,1,1,1,1,2,1,1,1,1,1,8,3,4,1,10,3,1,1,2,2,2,2,6,"",5,5,1,1,1,98,4,7,2,4,1
202695298,1.096164517,51,3,1,15,1501,150110,1,1,1,3,3,1,1,1,4,2,3,1,5,1,3,1,1,1,1,7,4,3,4,2,1,7,3,5,2,10,3,2,2,4,1,3,4,3,1,,1500,2,375,2,4,2,3,4,3,4,4,3,4,3,4,3,4,2,5,2,10,3,10,3,2,1,99,1,2,1,77,DELINCUENCIA,4,4,5,2,2,2,2,7,2,10,3
