NC,ponderab,edad,edadr,sexo,dep,prov,dist,macrozona,zona2,ambito2,zonali1,zonali2,region,ur,ambito,hogar,hijos18,edu,edu2,edupadre,edupadre2,edumadre,edumadre2,origen,ocupa,ocupa2,NSE,NSE1,NSE2,P01,P02,P02a,P03,P03a,P05,P05a,P06,P06a,P07,P08,P09,P09a,P10,P12,p12a,P13,P14,P15,yhogar,yhogar_pc1,yhogar_pc2,P16,P16a,P16b,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P28a,P29,P29a,P30,P30a,P32,P32a,P33,P34,P35,P36,P37,P37otros,P37a,P37b,P38,P38a,P38b,etnicidad,etnicidad2,lengua,lengua2,ideología,ideología2
202116933,1.232805175,53,3,1,6,608,60802,5,8,2,,,3,2,3,2,2,3,1,2,1,2,1,1,1,1,8,5,3,3,10,3,1,1,10,3,1,1,2,2,4,1,1,2,2,1,,900,1,450,2,2,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,10,3,10,3,1,2,2,2,1,"",1,1,1,1,1,2,2,7,2,10,3
202116688,1.059997199,23,1,1,21,2101,210101,4,7,2,,,2,1,2,4,2,9,2,7,2,7,2,2,5,2,7,4,3,3,1,1,10,3,10,3,10,3,4,1,4,1,5,4,3,2,,2000,2,500,2,2,1,1,1,1,1,1,1,1,3,1,1,3,1,10,3,10,3,10,3,10,3,2,2,2,2,2,"",2,2,1,1,1,3,3,7,2,5,2
202116512,1.170407903,28,2,2,5,501,50101,4,7,2,,,2,2,3,4,1,4,1,2,1,2,1,1,6,2,8,5,3,4,2,1,4,1,5,2,4,1,4,1,4,1,1,3,2,1,3,1500,2,375,2,4,2,3,3,1,3,3,2,3,2,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,3,"",3,3,1,1,1,98,4,1,1,10,3
202116091,1.265900548,52,3,1,15,1501,150135,1,1,1,3,3,1,1,1,2,2,10,2,9,2,9,2,2,1,1,3,2,1,3,10,3,9,3,8,3,10,3,4,1,4,1,5,2,2,2,,3500,4,1750,4,1,1,1,2,2,1,3,2,4,1,1,2,1,1,8,3,5,2,3,1,8,3,2,1,2,2,2,"",2,2,3,1,1,2,2,7,2,5,2
202100644,1.441706954,23,1,1,19,1902,190204,3,6,2,,,2,2,3,8,2,6,2,5,1,2,1,1,3,1,8,5,3,3,10,3,5,2,8,3,10,3,4,3,4,1,5,4,3,1,,2000,2,250,1,2,1,1,1,3,1,1,1,4,2,1,1,1,1,10,3,1,1,10,3,10,3,1,2,1,2,2,"",2,2,10,3,3,3,3,1,1,6,2
202100083,0.874398828,58,3,2,16,1602,160201,5,8,2,,,3,1,2,3,2,3,1,3,1,4,1,1,1,1,8,5,3,3,5,2,8,3,4,1,2,1,3,1,4,1,3,4,3,1,,2500,3,833.33,3,3,2,2,2,2,2,3,4,3,1,2,2,2,,5,2,5,2,6,2,7,3,1,99,99,99,2,"",2,2,7,3,3,98,4,1,1,99,
202098753,0.874398828,66,3,2,2,212,21201,2,5,2,,,2,1,2,4,2,3,1,1,1,1,1,1,6,2,7,4,3,3,10,3,1,1,10,3,1,1,1,3,3,1,2,4,3,1,,500,1,125,1,4,2,3,1,3,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,99,1,99,2,77,POBREZA,3,3,1,1,1,98,4,1,1,10,3
202096542,1.142066593,20,1,2,15,1501,150110,1,1,1,3,3,1,1,1,4,2,8,2,4,1,4,1,1,3,1,6,3,2,3,1,1,10,3,10,3,10,3,4,3,3,1,1,3,2,1,,,,,,3,2,2,1,3,2,1,3,2,3,2,1,2,1,10,3,10,3,1,1,10,3,2,2,99,1,5,"",5,5,10,3,3,2,2,7,2,10,3
202094526,1.390799054,24,1,2,22,2206,220602,5,8,2,,,3,2,3,7,1,5,1,3,1,1,1,1,6,2,8,5,3,3,1,1,1,1,10,3,1,1,1,1,4,1,5,3,2,2,1,300,1,42.86,1,4,2,3,3,1,3,4,4,3,1,3,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,,"",,,1,1,1,2,2,7,2,1,1
202094503,1.057458015,77,3,2,15,1501,150132,1,1,1,5,5,1,1,1,2,2,4,1,3,1,1,1,1,6,2,7,4,3,3,1,1,10,3,10,3,1,1,4,1,1,2,5,4,3,1,,1400,2,700,3,4,2,3,2,2,2,3,4,3,1,1,1,1,1,1,1,1,1,10,3,10,3,2,1,2,2,2,"",2,2,1,1,1,2,2,7,2,10,3
202093193,0.892026131,27,2,1,10,1005,100506,3,6,2,,,2,1,2,5,2,8,2,5,1,7,2,2,3,1,7,4,3,3,8,3,10,3,9,3,8,3,1,1,4,1,2,3,2,1,,5000,4,1000,4,2,1,1,4,1,4,4,4,4,4,1,4,1,,3,1,1,1,1,1,2,1,99,1,1,1,,"",,,2,1,1,3,3,1,1,10,3
202091450,0.892026131,31,2,1,12,1201,120121,3,6,2,,,2,1,2,3,1,5,1,3,1,99,99,1,1,1,8,5,3,3,4,1,3,1,2,1,5,2,1,1,2,2,5,4,3,1,1,2000,2,666.67,3,2,1,1,3,1,1,3,3,2,1,1,1,1,1,9,3,8,3,5,2,8,3,2,2,1,2,2,"",2,2,7,3,3,3,3,1,1,4,1
202090760,0.906404751,68,3,1,2,211,21101,2,2,2,,,1,1,2,8,2,4,1,2,1,1,1,1,1,1,7,4,3,4,6,2,4,1,3,1,10,3,2,2,2,2,5,3,2,2,,2000,2,250,1,,,,99,1,99,3,3,2,3,3,,,1,4,1,3,1,2,1,3,1,99,2,2,2,6,"",5,5,1,1,1,98,4,7,2,2,1
202086155,1.170407903,28,2,2,24,2401,240105,2,2,2,,,1,2,3,4,2,9,2,2,1,1,1,1,1,1,7,4,3,3,3,1,10,3,10,3,8,3,4,3,4,1,2,4,3,1,,,,,,2,1,1,1,1,1,2,1,1,1,1,1,1,1,10,3,10,3,10,3,10,3,1,2,1,2,1,"",1,1,1,1,1,2,2,7,2,99,
202059611,1.232805175,60,3,1,12,1203,120303,5,8,2,,,3,2,3,7,1,2,1,2,1,1,1,1,1,1,8,5,3,99,99,99,2,1,2,1,1,1,1,1,3,1,3,4,3,2,99,1200,2,171.43,1,3,2,2,1,1,1,3,4,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,77,SERVICIOS BÁSICOS,6,77,1,1,1,2,2,7,2,99,
202058727,1.189273775,60,3,2,21,2101,210101,4,7,2,,,2,2,3,7,2,3,1,3,1,1,1,1,6,2,8,5,3,4,10,3,1,1,1,1,1,1,4,1,2,2,5,2,2,3,,,,,,4,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,10,3,10,3,10,3,2,2,99,2,2,"",2,2,1,1,1,3,3,1,1,1,1
202057872,1.232805175,60,3,1,6,607,60701,2,5,2,,,2,2,3,7,1,2,1,1,1,1,1,1,6,2,8,5,3,3,1,1,99,99,1,1,99,99,,1,4,1,3,4,3,2,3,3000,3,428.57,2,4,2,3,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,10,3,10,3,1,1,2,99,,"",,,1,1,1,2,2,7,2,1,1
202055993,0.860527929,36,2,2,8,807,80703,4,7,2,,,2,1,2,5,1,9,2,2,1,3,1,1,1,1,6,3,2,3,2,1,7,3,5,2,7,3,4,1,4,1,5,3,2,1,2,2500,3,500,2,3,2,2,1,1,1,2,1,99,1,1,1,1,1,9,3,9,3,9,3,9,3,2,2,1,2,1,"",1,1,2,1,1,3,3,1,1,4,1
202055653,0.906404751,62,3,1,12,1201,120101,3,6,2,,,2,1,2,4,1,5,1,10,2,9,2,2,1,1,7,4,3,5,5,2,2,1,5,2,5,2,4,1,3,1,1,3,2,2,3,1500,2,375,2,3,2,2,1,1,1,1,2,2,1,2,1,1,1,5,2,8,3,5,2,5,2,2,2,2,2,2,"",2,2,8,3,3,2,2,1,1,2,1
202055377,1.189273775,67,3,2,4,404,40411,4,7,2,,,2,2,3,,2,1,1,2,1,2,1,1,1,1,8,5,3,4,1,1,10,3,10,3,8,3,4,1,2,2,3,3,2,2,,300,1,,,3,2,2,2,2,1,3,2,2,1,1,1,,1,1,1,1,1,10,3,1,1,2,99,2,2,,"",,,1,1,1,98,4,7,2,10,3
202054873,0.860527929,37,2,2,1,101,10101,2,5,2,,,2,1,2,1,2,9,2,99,99,99,99,,5,2,4,2,1,4,4,1,4,1,8,3,9,3,4,1,4,1,2,3,2,1,,3000,3,3000,4,2,1,1,1,1,2,3,4,2,2,2,1,1,1,10,3,8,3,10,3,10,3,2,2,2,2,1,"",1,1,1,1,1,1,1,7,2,6,2
202054334,0.860527929,34,2,2,4,401,40101,4,7,2,,,2,1,2,4,2,10,2,3,1,3,1,1,3,1,3,2,1,3,5,2,99,99,10,3,5,2,4,1,4,1,1,,,2,,6000,4,1500,4,1,1,1,1,1,1,2,1,1,1,1,3,1,1,10,3,1,1,,,10,3,99,1,1,99,77,EL TEMA DE LA MINERÍA ILEGAL,77,77,1,1,1,98,4,7,2,99,
202053045,1.232805175,48,3,1,22,2205,220508,5,8,2,,,3,2,3,3,1,3,1,10,2,10,2,2,1,1,8,5,3,99,9,3,3,1,6,2,7,3,3,2,4,1,1,4,3,1,1,300,1,100,1,4,2,3,2,2,1,3,3,99,1,2,2,2,1,5,2,4,1,6,2,8,3,2,2,2,2,1,"",1,1,3,1,1,,,7,2,9,3
202051020,0.860527929,38,2,2,11,1101,110101,4,4,2,,,1,1,2,4,1,6,2,4,1,99,99,1,8,1,7,4,3,3,5,2,7,3,8,3,9,3,4,1,1,2,5,3,2,3,1,,,,,3,2,2,4,1,4,1,3,4,1,1,1,1,1,5,2,3,1,,,5,2,2,2,2,2,1,"",1,1,6,2,2,5,3,7,2,99,
202050874,1.022567796,20,1,2,20,2001,200101,2,2,2,,,1,1,2,8,1,5,1,5,1,7,2,2,8,1,7,4,3,3,1,1,1,1,10,3,10,3,2,1,3,1,2,4,3,3,1,1000,1,125,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,10,3,10,3,1,1,1,1,2,2,2,2,6,"",5,5,10,3,3,6,3,7,2,10,3
202049763,0.874398828,45,3,2,12,1201,120114,3,6,2,,,2,1,2,4,2,9,2,4,1,4,1,1,1,1,6,3,2,3,1,1,10,3,1,1,10,3,4,1,1,2,5,3,2,1,,3500,4,875,4,3,2,2,1,1,1,1,2,2,1,2,1,1,1,10,3,10,3,1,1,10,3,1,2,1,2,77,A LOS TRABAJADORES DEL GOBIERNO REGIONAL NOMBRADOS,5,5,1,1,1,98,4,7,2,1,1
202048995,1.232805175,72,3,1,4,404,40401,4,7,2,,,2,2,3,3,2,3,1,2,1,2,1,1,1,1,8,5,3,4,1,1,1,1,1,1,1,1,4,1,1,2,99,3,2,3,,,,,,3,2,2,1,1,1,3,1,99,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,"",3,3,1,1,1,4,3,1,1,1,1
202048098,0.892026131,37,2,1,20,2007,200701,2,2,2,,,1,1,2,4,1,7,2,5,1,4,1,1,1,1,4,2,1,3,1,1,3,1,1,1,1,1,4,1,1,2,5,3,2,2,1,5000,4,1250,4,2,1,1,2,2,2,2,2,2,1,2,2,1,1,8,3,7,3,6,2,4,1,2,2,2,2,3,"",3,3,5,2,2,2,2,7,2,5,2
202047131,0.906404751,40,3,1,8,809,80910,5,8,2,,,3,1,2,4,1,5,1,7,2,7,2,2,1,1,7,4,3,3,8,3,9,3,8,3,5,2,4,2,4,1,2,4,3,1,1,,,,,1,1,1,4,1,1,4,4,3,3,3,1,1,1,10,3,8,3,6,2,10,3,99,2,1,2,2,"",2,2,1,1,1,3,3,1,1,6,2
202047088,1.170407903,36,2,2,20,2001,200101,2,2,2,,,1,2,3,5,1,5,1,2,1,2,1,1,8,1,7,4,3,3,9,3,8,3,10,3,8,3,3,2,2,2,5,3,2,1,1,3500,4,700,3,2,1,1,2,3,1,3,3,3,3,3,3,3,1,1,1,1,1,10,3,1,1,2,2,2,2,2,"",2,2,3,1,1,2,2,7,2,2,1
202046256,0.860527929,39,2,2,20,2001,200101,2,2,2,,,1,1,2,5,1,5,1,2,1,2,1,1,1,1,7,4,3,4,10,3,10,3,10,3,1,1,3,1,3,1,5,3,2,1,1,4000,4,800,3,3,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,10,3,10,3,1,1,1,1,4,"",4,4,1,1,1,2,2,7,2,10,3
202045789,0.874398828,40,3,2,4,401,40117,4,7,2,,,2,1,2,4,1,9,2,7,2,7,2,2,3,1,4,2,1,3,1,1,4,1,4,1,10,3,4,1,4,1,5,3,2,1,1,3000,3,750,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,5,2,5,2,5,2,4,1,2,2,2,2,2,"",2,2,2,1,1,2,2,7,2,99,
202045289,1.096164517,40,3,1,15,1501,150103,1,1,1,5,5,1,1,1,8,2,5,1,5,1,3,1,1,1,1,7,4,3,3,7,3,5,2,3,1,4,1,2,2,4,1,5,4,3,2,,1500,2,187.5,1,3,2,2,1,2,1,3,3,2,3,2,3,1,1,6,2,7,3,7,3,8,3,1,2,1,2,1,"",1,1,8,3,3,2,2,1,1,10,3
202044158,1.390799054,23,1,2,10,1002,100205,3,6,2,,,2,2,3,4,1,5,1,2,1,5,1,1,1,1,8,5,3,3,10,3,10,3,10,3,1,1,3,1,4,1,3,4,3,1,1,,,,,3,2,2,2,1,2,3,3,3,1,1,1,1,1,10,3,1,1,10,3,10,3,1,1,2,2,,"",,,1,1,1,1,1,7,2,99,
202042871,0.860527929,35,2,2,23,2301,230101,4,4,2,,,1,1,2,4,2,9,2,2,1,2,1,1,1,1,6,3,2,2,2,1,1,1,5,2,10,3,4,1,3,1,1,3,2,2,,4000,4,1000,4,2,1,1,1,1,1,2,1,3,1,2,2,1,1,9,3,7,3,9,3,10,3,2,2,2,2,2,"",2,2,1,1,1,2,2,7,2,5,2
202042775,0.996269634,31,2,1,15,1501,150132,1,1,1,5,5,1,1,1,1,2,8,2,2,1,1,1,1,1,1,5,3,2,3,10,3,2,1,10,3,9,3,4,1,4,1,2,3,2,2,,1500,2,1500,4,2,1,1,2,2,1,1,2,1,1,1,2,1,1,10,3,8,3,10,3,9,3,2,2,2,2,77,TRABAJAR EN LO QUE ES LA INCLUSIÓN SOCIAL,77,77,5,2,2,2,2,7,2,5,2
202041878,0.874398828,42,3,2,15,1508,150810,3,3,2,,,1,1,2,5,1,5,1,99,99,7,2,2,1,1,7,4,3,99,1,1,10,3,10,3,10,3,4,1,99,99,2,4,3,3,1,2000,2,400,2,4,2,3,2,3,1,2,1,99,2,1,1,1,1,10,3,10,3,10,3,10,3,1,1,2,2,1,"",1,1,10,3,3,98,4,7,2,10,3
202037369,0.874398828,60,3,2,25,2501,250106,5,8,2,,,3,1,2,4,1,9,2,5,1,5,1,1,6,2,5,3,2,4,10,3,1,1,10,3,9,3,4,2,2,2,3,3,2,2,1,2200,3,550,3,2,1,1,4,3,4,4,4,4,1,4,4,1,1,10,3,6,2,8,3,7,3,1,2,1,2,4,"",4,4,4,1,1,2,2,7,2,3,1
202035451,1.189273775,51,3,2,24,2403,240304,2,2,2,,,1,2,3,5,2,5,1,3,1,5,1,1,6,2,7,4,3,4,2,1,2,1,5,2,1,1,4,1,4,1,5,4,3,2,,3000,3,600,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,10,3,10,3,10,3,10,3,2,2,1,2,2,"",2,2,2,1,1,2,2,7,2,5,2
202033446,0.478414515,32,2,2,15,1501,150130,1,1,1,2,2,1,1,1,5,1,8,2,2,1,1,1,1,1,1,2,1,1,3,1,1,5,2,9,3,10,3,4,2,3,1,5,2,2,1,1,7000,4,1400,4,1,1,1,2,2,2,4,4,4,1,1,2,1,,4,1,4,1,1,1,1,1,2,2,1,2,,"",,,5,2,2,1,1,7,2,10,3
202029788,0.996269634,25,2,1,15,701,70106,1,1,1,6,,1,1,1,5,2,6,2,1,1,1,1,1,1,1,6,3,2,3,4,1,6,2,7,3,6,2,4,1,4,1,1,3,2,1,,1200,2,240,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,6,2,6,2,8,3,6,2,2,2,1,2,77,COLEGIOS,2,2,6,2,2,2,2,7,2,4,1
202029460,1.096164517,65,3,1,15,1501,150135,1,1,1,3,3,1,1,1,10,2,5,1,7,2,5,1,2,1,1,7,4,3,4,1,1,1,1,10,3,1,1,4,1,3,1,99,4,3,2,,3000,3,300,1,4,2,3,1,1,1,1,2,99,1,1,3,1,1,10,3,10,3,10,3,10,3,2,2,2,2,1,"",1,1,5,2,2,2,2,7,2,1,1
202028105,1.232805175,58,3,1,11,1105,110504,4,4,2,,,1,2,3,7,2,7,2,1,1,3,1,1,1,1,7,4,3,3,2,1,4,1,5,2,1,1,2,1,4,1,1,4,3,1,,4000,4,571.43,3,4,2,3,2,1,1,1,4,1,1,1,1,1,1,10,3,1,1,1,1,10,3,1,2,1,2,1,"",1,1,1,1,1,2,2,7,2,1,1
202027560,0.874398828,50,3,2,6,601,60101,2,5,2,,,2,1,2,4,1,1,1,2,1,1,1,1,8,1,7,4,3,99,6,2,8,3,1,1,99,99,,99,4,1,2,4,3,2,1,1500,2,375,2,4,2,3,1,1,1,99,99,99,2,1,3,1,1,1,1,10,3,9,3,10,3,1,2,2,99,3,"",3,3,1,1,1,,,7,2,7,3
202027396,0.860527929,33,2,2,20,2001,200115,2,2,2,,,1,1,2,4,1,7,2,3,1,3,1,1,3,1,7,4,3,3,1,1,5,2,9,3,1,1,4,3,3,1,5,4,3,3,3,3000,3,750,3,4,2,3,1,1,1,1,2,99,1,1,1,1,1,5,2,8,3,5,2,9,3,2,2,2,2,1,"",1,1,6,2,2,2,2,7,2,10,3
202026322,1.170407903,37,2,2,2,218,21801,2,2,2,,,1,2,3,6,1,4,1,9,2,5,1,2,6,2,8,5,3,2,3,1,10,3,5,2,10,3,3,1,3,1,3,3,2,2,1,600,1,100,1,3,2,2,2,2,1,1,1,99,2,2,1,2,1,10,3,6,2,10,3,10,3,1,2,1,2,5,"",5,5,5,2,2,2,2,7,2,6,2
202025335,1.213248749,25,2,1,6,609,60901,5,8,2,,,3,2,3,3,1,3,1,2,1,99,99,1,1,1,8,5,3,3,10,3,1,1,1,1,1,1,2,1,4,1,2,4,3,2,1,2000,2,666.67,3,3,2,2,4,1,1,4,1,3,1,1,1,1,1,1,1,1,1,10,3,10,3,2,2,1,2,2,"",2,2,1,1,1,5,3,7,2,1,1
202025274,0.552920363,66,3,2,15,1501,150106,1,1,1,3,3,1,1,1,7,2,3,1,6,2,4,1,2,6,2,8,5,3,4,5,2,5,2,8,3,8,3,1,3,4,1,2,4,3,2,,1000,1,142.86,1,4,2,3,3,3,1,2,1,3,1,1,4,1,1,5,2,6,2,10,3,5,2,2,2,2,2,1,"",1,1,5,2,2,2,2,7,2,5,2
202022834,1.480410416,18,1,1,15,1501,150103,1,1,1,5,5,1,1,1,5,2,5,1,8,2,5,1,2,1,1,4,2,1,3,4,1,5,2,7,3,9,3,4,2,4,1,2,3,2,3,,5000,4,1000,4,3,2,2,1,1,1,2,2,2,2,1,1,1,1,8,3,8,3,8,3,10,3,2,2,2,2,2,"",2,2,2,1,1,2,2,7,2,5,2
202020860,0.906404751,48,3,1,1,101,10114,2,5,2,,,2,1,2,8,1,2,1,5,1,5,1,1,99,99,8,5,3,99,10,3,5,2,5,2,2,1,4,1,3,1,99,1,1,2,1,500,1,62.5,1,3,2,2,4,3,2,4,4,99,3,3,2,2,1,1,1,1,1,10,3,2,1,1,1,1,2,77,NECESIDADES DE LA GENTE,3,3,1,1,1,2,2,7,2,10,3
202015728,0.860527929,30,2,2,11,1101,110101,4,4,2,,,1,1,2,6,1,7,2,5,1,7,2,2,5,2,8,5,3,3,7,3,2,1,10,3,5,2,2,2,4,1,5,4,3,3,1,2000,2,333.33,2,4,2,3,2,2,1,1,2,1,1,1,3,1,1,9,3,8,3,10,3,10,3,2,2,1,2,2,"",2,2,5,2,2,2,2,7,2,1,1
201985084,0.495926087,28,2,1,15,1501,150120,1,1,1,2,2,1,1,1,5,2,9,2,3,1,3,1,1,3,1,2,1,1,3,3,1,5,2,8,3,8,3,4,1,4,1,5,2,2,1,,3500,4,700,3,1,1,1,1,1,1,1,1,1,2,1,3,2,1,8,3,8,3,2,1,10,3,2,2,2,2,77,LA FORMALIZACIÓN,5,5,1,1,1,2,2,7,2,10,3
201984314,1.183870052,24,1,1,15,1501,150103,1,1,1,5,5,1,1,1,4,2,8,2,2,1,2,1,1,3,1,6,3,2,4,2,1,8,3,4,1,9,3,4,1,4,1,5,3,2,1,,1500,2,375,2,,,,2,99,1,3,3,4,3,2,3,1,1,9,3,7,3,7,3,10,3,99,99,2,99,3,"",3,3,2,1,1,2,2,7,2,99,
201983933,0.892026131,34,2,1,4,402,40201,4,4,2,,,1,1,2,4,2,9,2,5,1,4,1,1,1,1,3,2,1,3,5,2,6,2,10,3,6,2,,1,4,1,1,2,2,1,,5000,4,1250,4,1,1,1,3,99,1,3,3,1,1,3,1,1,2,7,3,6,2,4,1,1,1,2,2,2,2,2,"",2,2,5,2,2,2,2,7,2,10,3
201982982,1.213248749,35,2,1,17,1701,170101,5,8,2,,,3,2,3,1,1,5,1,5,1,5,1,1,1,1,5,3,2,3,5,2,8,3,6,2,4,1,3,1,4,1,1,2,2,1,1,2000,2,2000,4,1,1,1,3,3,2,3,3,99,3,2,3,1,1,10,3,9,3,10,3,8,3,2,2,1,2,1,"",1,1,7,3,3,2,2,7,2,4,1
201982834,0.874398828,45,3,2,20,2007,200701,2,2,2,,,1,1,2,4,1,7,2,5,1,3,1,1,6,2,6,3,2,4,9,3,2,1,5,2,7,3,4,2,4,1,5,3,2,1,1,3000,3,750,3,2,1,1,3,1,2,2,2,2,1,1,1,1,1,8,3,9,3,5,2,7,3,2,2,2,2,4,"",4,4,2,1,1,2,2,7,2,7,3
201981979,1.221200522,53,3,2,15,1501,150108,1,1,1,4,4,1,1,1,2,2,6,2,6,2,6,2,2,6,2,4,2,1,3,6,2,10,3,6,2,10,3,4,1,4,1,3,3,2,3,,3000,3,1500,4,3,2,2,1,1,1,3,3,1,1,1,3,1,1,7,3,10,3,5,2,7,3,2,2,2,2,1,"",1,1,7,3,3,1,1,7,2,10,3
201980954,1.390799054,23,1,2,25,2501,250101,5,8,2,,,3,2,3,4,2,8,2,5,1,99,99,1,3,1,6,3,2,3,7,3,5,2,10,3,10,3,4,2,4,1,5,3,2,1,,2500,3,625,3,4,2,3,1,3,1,3,3,3,1,1,2,1,1,10,3,10,3,5,2,8,3,2,2,1,2,2,"",2,2,6,2,2,2,2,7,2,1,1
201980920,1.059997199,19,1,1,15,1504,150403,3,6,2,,,2,1,2,3,1,3,1,6,2,6,2,2,8,1,4,2,1,1,3,1,6,2,4,1,4,1,2,2,3,1,4,3,2,2,2,322,1,107.33,1,1,1,1,99,3,2,3,1,99,2,3,2,2,2,3,1,3,1,4,1,3,1,2,1,1,2,,"",,,4,1,1,98,4,3,1,99,
201980897,0.976582379,55,3,2,15,1501,150121,1,1,1,2,2,1,1,1,4,2,9,2,5,1,5,1,1,6,2,5,3,2,3,10,3,2,1,2,1,10,3,4,1,4,1,1,4,3,2,,2500,3,625,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,10,3,10,3,10,3,2,2,2,2,1,"",1,1,1,1,1,2,2,7,2,7,3
201980319,0.976582379,56,3,2,15,1501,150116,1,1,1,2,2,1,1,1,3,2,5,1,5,1,5,1,1,1,1,5,3,2,3,7,3,5,2,5,2,7,3,4,1,3,1,1,3,2,1,,2000,2,666.67,3,2,1,1,2,2,1,2,2,2,2,2,1,2,1,8,3,7,3,8,3,8,3,2,2,2,2,2,"",2,2,4,1,1,2,2,7,2,7,3
201979903,0.495926087,27,2,1,15,1501,150140,1,1,1,2,2,1,1,1,3,2,9,2,1,1,1,1,1,1,1,2,1,1,3,4,1,8,3,8,3,9,3,3,2,3,1,4,2,2,1,,10000,4,3333.33,4,1,1,1,1,1,1,2,1,2,1,1,1,2,1,9,3,8,3,7,3,7,3,2,1,1,2,2,"",2,2,8,3,3,2,2,7,2,7,3
201979663,1.183870052,22,1,1,15,701,70101,1,1,1,6,,1,1,1,8,2,8,2,5,1,5,1,1,3,1,6,3,2,3,3,1,1,1,6,2,8,3,4,2,4,1,5,3,2,1,,1300,2,162.5,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,10,3,5,2,2,1,7,3,2,2,2,2,1,"",1,1,7,3,3,2,2,7,2,5,2
201979639,1.040683182,34,2,2,15,1501,150117,1,1,1,3,3,1,1,1,2,2,5,1,2,1,1,1,1,1,1,7,4,3,3,5,2,3,1,3,1,10,3,4,1,4,1,5,3,2,1,,3000,3,1500,4,2,1,1,1,1,1,3,4,4,2,1,3,1,1,10,3,8,3,10,3,10,3,2,2,2,2,1,"",1,1,6,2,2,1,1,7,2,6,2
201978766,0.860527929,31,2,2,13,1301,130101,2,2,2,,,1,1,2,5,1,3,1,3,1,5,1,1,6,2,7,4,3,4,2,1,3,1,10,3,10,3,4,1,4,1,1,4,3,1,1,3000,3,600,3,3,2,2,1,1,1,1,1,4,1,1,1,1,1,9,3,9,3,9,3,8,3,2,2,2,2,2,"",2,2,2,1,1,2,2,7,2,2,1
201978702,0.961090505,35,2,2,15,1501,150112,1,1,1,3,3,1,1,1,5,2,5,1,2,1,2,1,1,1,1,6,3,2,3,1,1,1,1,3,1,10,3,4,1,4,1,5,3,2,1,,5000,4,1000,4,3,2,2,1,1,1,1,3,3,1,1,1,1,1,10,3,10,3,5,2,10,3,2,2,2,2,1,"",1,1,1,1,1,6,3,7,2,10,3
201976166,0.874398828,65,3,2,12,1201,120114,3,6,2,,,2,1,2,4,2,5,1,3,1,3,1,1,6,2,7,4,3,3,5,2,1,1,7,3,1,1,2,1,3,1,1,4,3,2,,1500,2,375,2,4,2,3,1,1,1,3,3,3,1,1,1,1,1,5,2,6,2,3,1,,,2,1,2,2,3,"",3,3,2,1,1,2,2,7,2,3,1
201975382,1.059997199,21,1,1,12,1201,120107,3,6,2,,,2,1,2,1,2,6,2,5,1,5,1,1,3,1,7,4,3,3,10,3,7,3,8,3,5,2,2,1,2,2,5,4,3,1,,1200,2,1200,4,2,1,1,2,3,2,3,3,2,2,2,1,3,1,1,1,10,3,1,1,1,1,1,2,2,2,77,BUENOS COLEGIOS,2,2,10,3,3,2,2,1,1,10,3
201975087,1.059997199,23,1,1,1,103,10312,5,8,2,,,3,1,2,2,2,5,1,2,1,2,1,1,5,2,8,5,3,4,5,2,3,1,9,3,2,1,2,1,4,1,5,3,2,2,,700,1,350,2,4,2,3,1,1,1,3,3,2,1,1,1,1,1,1,1,3,1,10,3,10,3,2,2,1,2,1,"",1,1,5,2,2,2,2,7,2,5,2
201974904,1.390799054,20,1,2,8,809,80902,5,8,2,,,3,2,3,6,2,5,1,3,1,3,1,1,1,1,8,5,3,3,9,3,8,3,9,3,10,3,4,1,4,1,5,2,2,1,,300,1,50,1,3,2,2,1,1,1,4,1,3,1,1,1,3,1,4,1,8,3,3,1,5,2,99,2,1,2,3,"",3,3,8,3,3,1,1,7,2,8,3
201973574,1.170407903,28,2,2,12,1205,120504,3,6,2,,,2,2,3,5,2,8,2,1,1,1,1,1,2,2,8,5,3,3,3,1,7,3,8,3,5,2,4,1,4,1,1,2,2,1,,2000,2,400,2,3,2,2,1,1,1,3,1,99,1,1,1,1,1,10,3,8,3,10,3,9,3,2,1,1,2,,"",,,8,3,3,3,3,1,1,5,2
